FREQUENCY (MHz)),LOSS (dB)
25,-0.62
30,-0.05
35,-0.4
40,-0.52
45,-0.505
50,-0.295
60,-0.55
70,0.03
80,-0.58
90,-0.2
100,-0.707
120,-0.872
140,-0.964
160,-0.923
180,-0.976
200,-1.03
225,-0.98
250,-0.638
275,-0.86
300,-1.388
350,-0.64
400,-1.421
450,-1.085
500,-1.71
550,-1.032
600,-1.892
650,-1.22
700,-1.82
750,-1.28
800,-2.036
850,-1.409
900,-2.124
950,-1.96
1000,-2.194
1100,-2.265
1250,-1.7
1500,-2.412
1750,-1.96
2000,-2.655
2250,-2.224
2500,-2.85
3000,-3.04
3500,-4.74
4000,-4.55
4500,-4.99
5000,-5.39
5500,-4.137
6000,-5.4
