Frequency (MHz),Gain (dBi),AFE (dB/m),Diameter (m)
25,-17.99,16.16,1
30,-18.34,18.09,
35,-16.44,17.53,
40,-12.62,14.87,
45,-9.29,12.56,
50,-6.37,10.56,
60,-3.58,9.35,
70,-1.68,8.79,
80,0.44,7.83,
90,0.61,8.69,
100,0.06,10.15,
120,0.85,10.94,
140,4.3,8.83,
160,5.93,8.36,
180,5.92,9.39,
200,6.95,9.28,
225,7.03,10.23,
250,6.89,11.28,
275,6.38,12.62,
300,6.5,13.25,
350,6.84,14.25,
400,6.83,15.42,
450,6.88,16.4,
500,7.45,16.73,
550,7.69,17.33,
600,7.47,18.3,
650,7.47,18.99,
700,8.29,18.83,
750,7.5,20.22,
800,7.94,20.33,
850,7.61,21.18,
900,7.61,21.69,
950,7.81,21.95,
1000,8.22,21.99,
1100,8.13,22.9,
1200,7.95,23.84,
1300,7.88,24.61,
1400,8.87,24.27,
1500,7.86,25.87,
1600,8.77,25.52,
1700,8.2,26.62,
1800,8.02,27.29,
1900,7.59,28.2,
2000,5.75,30.48,
