Angle (deg),
3.6,-68.07631392661168
7.2,-65.62100995732357
10.8,-61.440968369696854
14.4,-59.47620350166202
18.0,-58.46011750320875
21.6,-58.117132281325254
25.200000000000003,-59.74490403254423
28.800000000000004,-60.807639883096044
32.400000000000006,-61.37126123705252
36.00000000000001,-61.348773793801186
39.60000000000001,-61.04435235411839
43.20000000000001,-60.733000626454015
46.80000000000001,-61.822413516759944
50.40000000000001,-66.23947333115592
54.000000000000014,-67.566407422581
57.600000000000016,-63.690398794597144
61.20000000000002,-62.37221927308691
64.80000000000001,-65.57574480527487
68.4,-69.12937470920455
72.0,-67.29072384246564
75.6,-66.9938745938602
79.19999999999999,-70.21430062781451
82.79999999999998,-75.69038103170944
86.39999999999998,-72.81268974199384
89.99999999999997,-67.370055966496
93.59999999999997,-68.82066627286386
97.19999999999996,-78.09042759756856
100.79999999999995,-68.17893288989143
104.39999999999995,-67.65253543797544
107.99999999999994,-77.47222446404406
111.59999999999994,-65.61789733208248
115.19999999999993,-62.06122698432489
118.79999999999993,-62.48948177627305
122.39999999999992,-67.49615476990196
125.99999999999991,-72.35159777039394
129.5999999999999,-66.65558317752871
133.1999999999999,-65.03312165591475
136.7999999999999,-64.86122800662493
140.3999999999999,-64.88777267697301
143.9999999999999,-65.94398886004998
147.59999999999988,-66.87005077900565
151.19999999999987,-68.1186651967429
154.79999999999987,-68.49631655967585
158.39999999999986,-71.0391559370953
161.99999999999986,-73.62821192850475
165.59999999999985,-77.87237493482934
169.19999999999985,-77.80020641130125
172.79999999999984,-77.51671366209325
176.39999999999984,-77.158542298211
179.99999999999983,-77.81257137204888
183.59999999999982,-77.24132591618974
187.19999999999982,-75.81842572821702
190.7999999999998,-73.15429506162238
194.3999999999998,-73.35627996675888
197.9999999999998,-69.91199775693593
201.5999999999998,-69.68871322575247
205.1999999999998,-68.84561117216293
208.79999999999978,-71.02310750406777
212.39999999999978,-74.80570805658265
215.99999999999977,-77.85146116164285
219.59999999999977,-72.9735841344513
223.19999999999976,-71.83732020743803
226.79999999999976,-71.69183458422
230.39999999999975,-76.937807551121
233.99999999999974,-77.72822546829357
237.59999999999974,-69.13023109485094
241.19999999999973,-64.64262480016018
244.79999999999973,-63.93779598248277
248.39999999999972,-67.74241414949341
251.99999999999972,-76.34882237063528
255.5999999999997,-69.37970882262093
259.1999999999997,-66.4957555492037
262.7999999999997,-67.9751008505086
266.39999999999975,-68.40106745865583
269.9999999999998,-71.09635667897508
273.5999999999998,-76.75997277963943
277.1999999999998,-68.16501243343833
280.79999999999984,-65.36448224354218
284.39999999999986,-67.69192958600262
287.9999999999999,-77.61635294787708
291.5999999999999,-67.04808028260192
295.19999999999993,-63.04667572605441
298.79999999999995,-62.03227738411263
302.4,-62.88693517160799
306.0,-64.40459092803157
309.6,-63.95323082911082
313.20000000000005,-64.19280311391648
316.80000000000007,-61.24473910384745
320.4000000000001,-59.66184834377953
324.0000000000001,-60.575705247818775
327.60000000000014,-63.460901196397614
331.20000000000016,-64.00277352785304
334.8000000000002,-60.80242018016113
338.4000000000002,-56.96341075227117
342.0000000000002,-56.39344621673536
345.60000000000025,-56.87008325278421
349.2000000000003,-57.65077535600355
352.8000000000003,-59.98051915468953
356.4000000000003,-63.39141557043294
360.00000000000034,-67.1151747002328
363.60000000000036,-68.52547257123045
