FREQUENCY (MHz),GAIN (dB)
1,35.91
2,35.91
3,35.92
4,35.92
5,35.92
6,35.83
7,35.83
8,35.95
9,35.95
10,35.93
15,36.05
20,36.03
25,36.01
30,36.03
35,36.02
40,36.04
45,35.98
50,36.02
55,35.91
60,36.04
65,36
70,35.99
75,35.98
80,35.81
85,35.93
90,35.92
95,35.9
100,35.86
125,35.86
150,35.85
175,35.81
200,35.71
225,35.76
250,35.68
275,35.59
300,35.54
325,35.52
350,35.29
375,35.4
400,35.38
425,35.19
450,35.18
475,35.21
500,35.09
525,35.04
550,34.9
575,34.84
600,34.79
625,34.72
650,34.68
675,34.52
700,34.51
725,34.43
750,34.21
775,34.18
800,34.34
825,33.87
850,33.68
875,34.02
900,33.88
925,33.39
950,33.45
975,33.69
1000,33.25
