FREQUENCY (MHz)),GAIN (dB)
500,39.63
600,40.1
700,40.25
800,40.51
900,40.41
1000,40.42
1250,40.73
1500,40.89
1750,41
2000,41.17
2250,41.35
2500,41.49
2750,41.61
3000,41.7
3250,41.79
3500,41.8
3750,41.83
4000,41.82
4250,41.62
4500,41.47
4750,41.25
5000,40.98
5250,40.71
5500,40.54
5750,40.4
6000,40.27
6500,40.3
7000,40.63
7500,40.67
8000,40.48
8500,40.01
9000,40.67
9500,41.51
1000,41.31
1050,40.87
1100,39.46
1150,40.55
1200,40.32
1250,41.03
1300,41.34
1350,41.61
1400,41.63
1450,41.67
1500,41.56
1550,41.52
1600,41.46
1650,41.29
1700,41.37
1750,41
1800,41.13
